%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=210461, 2015/05/9 19:27:29.62)
46 553 1.410070e+01 8.894911e-01 2.099353e-04 2.099353e-04 3.372827e-04 3.698699e-04 3.912943e-04 4.197540e-04 4.402317e-04 4.649417e-04 4.879005e-04 1.267420e-03 7.183832e-03 1.338352e-02 1.562301e-02 5.747456e-02 1.008974e-01 3.440917e-01 4.653544e-01 6.784753e-01 8.894911e-01 
47 565 1.452808e+01 8.870539e-01 2.066523e-04 2.066523e-04 3.346731e-04 3.651130e-04 3.885274e-04 4.189488e-04 4.378865e-04 4.691792e-04 4.866070e-04 1.312504e-03 7.222496e-03 1.342743e-02 1.561768e-02 5.751613e-02 1.008251e-01 3.463359e-01 4.660701e-01 6.858348e-01 8.870539e-01 
48 577 1.510218e+01 8.823809e-01 2.041094e-04 2.041094e-04 3.323872e-04 3.636673e-04 3.915549e-04 4.172461e-04 4.368534e-04 4.674694e-04 4.858476e-04 1.311929e-03 7.246316e-03 1.307934e-02 1.575828e-02 5.964959e-02 1.009975e-01 3.533599e-01 4.659338e-01 6.888608e-01 8.823809e-01 
49 589 1.577378e+01 8.822125e-01 2.014023e-04 2.014023e-04 3.326965e-04 3.623903e-04 3.914194e-04 4.163840e-04 4.355219e-04 4.695344e-04 4.877893e-04 1.309087e-03 7.239899e-03 1.305613e-02 1.563938e-02 5.996490e-02 1.000939e-01 3.556605e-01 4.652234e-01 6.931067e-01 8.822125e-01 
50 601 1.582528e+01 8.764150e-01 1.984242e-04 1.984242e-04 3.325566e-04 3.668351e-04 3.908640e-04 4.167329e-04 4.316509e-04 4.736288e-04 4.973063e-04 1.295810e-03 7.180297e-03 1.296255e-02 1.553360e-02 6.042131e-02 1.002171e-01 3.555841e-01 4.649990e-01 7.060663e-01 8.764150e-01 
51 613 1.573339e+01 8.791125e-01 1.968666e-04 1.968666e-04 3.310114e-04 3.678226e-04 3.922140e-04 4.192924e-04 4.306758e-04 4.732329e-04 4.973312e-04 1.295807e-03 7.142640e-03 1.290423e-02 1.545148e-02 6.060234e-02 9.969700e-02 3.526206e-01 4.647629e-01 7.049789e-01 8.791125e-01 
52 625 1.544891e+01 8.799557e-01 1.946633e-04 1.946633e-04 3.290669e-04 3.695300e-04 3.918936e-04 4.207353e-04 4.309648e-04 4.724157e-04 5.002411e-04 1.294007e-03 7.132674e-03 1.278949e-02 1.531183e-02 6.071058e-02 9.920738e-02 3.556757e-01 4.639528e-01 7.067160e-01 8.799557e-01 
53 637 1.503603e+01 8.814497e-01 1.932322e-04 1.932322e-04 3.277933e-04 3.689524e-04 3.913686e-04 4.230840e-04 4.266979e-04 4.706002e-04 4.973687e-04 1.296284e-03 7.141423e-03 1.259085e-02 1.541930e-02 6.082003e-02 1.003832e-01 3.571603e-01 4.591137e-01 7.075066e-01 8.814497e-01 
54 649 1.549410e+01 8.823428e-01 1.912988e-04 1.912988e-04 3.278544e-04 3.678964e-04 3.943941e-04 4.233610e-04 4.345656e-04 4.683665e-04 4.941172e-04 1.304870e-03 7.119890e-03 1.255535e-02 1.521184e-02 6.168611e-02 1.006284e-01 3.551168e-01 4.559259e-01 7.032281e-01 8.823428e-01 
55 661 1.604298e+01 8.853959e-01 1.877776e-04 1.877776e-04 3.228947e-04 3.693722e-04 3.944213e-04 4.230145e-04 4.388494e-04 4.668565e-04 4.968803e-04 1.294711e-03 7.177735e-03 1.260578e-02 1.541245e-02 6.216015e-02 1.008210e-01 3.542116e-01 4.504849e-01 7.096379e-01 8.853959e-01 
56 673 1.676923e+01 8.799747e-01 1.861743e-04 1.861743e-04 3.204620e-04 3.678327e-04 3.923106e-04 4.203726e-04 4.406672e-04 4.642157e-04 4.941528e-04 1.292046e-03 7.395242e-03 1.256067e-02 1.545379e-02 6.190493e-02 1.019939e-01 3.563090e-01 4.486995e-01 7.242353e-01 8.799747e-01 
